PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
1,3,1,-0.5868596181005671,1,0,-0.5021631365156053,1,0
2,1,0,0.6405555895074719,1,0,0.7864036178345383,2,1
3,3,0,-0.2800058161985573,0,0,-0.48857985158126105,1,1
4,1,0,0.41041523808096464,1,0,0.4204940697654092,1,1
5,3,1,0.41041523808096464,0,0,-0.48606442844527137,1,0
6,3,1,0.10356143617895487,0,0,-0.4778480503138746,3,0
7,1,1,1.8679707971155108,0,0,0.3955913807191113,1,0
8,3,1,-2.1211286276106156,3,1,-0.22395733767514675,1,0
9,3,0,-0.20329236572305487,0,2,-0.42401799520369554,1,1
10,2,0,-1.2005672219045864,1,0,-0.04293139010125909,2,1
11,3,0,-1.9677017266596109,1,1,-0.3119971474347855,1,1
12,1,0,2.1748245990175206,0,0,-0.11378180431879875,1,1
13,3,1,-0.740286519051572,0,0,-0.48606442844527137,1,0
14,3,1,0.7172690399829743,1,5,-0.01869880977838891,1,0
15,3,0,-1.2005672219045864,0,0,-0.4900045872454856,1,0
16,2,0,1.9446842475910133,0,0,-0.32608351699632776,1,1
17,3,1,-2.1211286276106156,4,1,-0.061964087717411374,3,0
18,2,1,-0.20329236572305487,0,0,-0.38645367226008004,1,1
19,3,0,0.10356143617895487,1,0,-0.28583674682049287,1,0
20,3,0,-0.12657891524755244,0,0,-0.5026662211428032,2,1
21,2,1,0.41041523808096464,0,0,-0.12484966611715337,1,0
22,2,1,0.33370178760546215,0,0,-0.38645367226008004,1,1
23,3,0,-1.1238537714290842,0,0,-0.48648299485510005,3,1
24,1,1,-0.12657891524755244,0,0,0.06632249221806229,1,1
25,3,0,-1.6608479247576011,3,1,-0.22395733767514675,1,0
26,3,0,0.6405555895074719,1,5,-0.016434928955998185,1,1
27,3,1,0.10356143617895487,0,0,-0.5026662211428032,2,0
28,1,1,-0.8169999695270743,3,2,4.644392599719279,1,0
29,3,0,-0.12657891524755244,0,0,-0.4895015026182876,3,1
30,3,1,0.10356143617895487,0,0,-0.4891674544258282,1,0
31,1,1,0.7939824904584768,0,0,-0.09022134505786503,2,0
32,1,0,-0.12657891524755244,1,0,2.300436803386727,2,1
33,3,0,-0.12657891524755244,0,0,-0.49210144397164657,3,1
34,2,1,2.7885322028215405,0,0,-0.43676213497987365,1,0
35,1,1,-0.12657891524755244,1,0,1.0054969729792393,2,0
36,1,1,0.9474093914094817,1,0,0.39835834616870003,1,0
